Company Name,Category,Category_Group,Subcategory,Health Trust,Sponsorship_Type,Renewal,Website,Address,City,Zip,Main Phone,Status,Missing_Address,Missing_City_Zip,Missing_Phone,Data_Quality_Notes
Auroma Technologies Company,MANUFACTURERS,MANUFACTURERS,,Yes,,JUNE,https://www.accesslaser.com,"2211 W Casino Road, Suite A",Everett,98204,425.582.8674,Active,FALSE,FALSE,FALSE,
"Advanced Powder Coating NW, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://apcnw.net,3910 Spur Ridge Lane,Bellingham,98226,360.398.1460,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
"AeroGo, Inc",MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://www.aerogo.com,1170 Andover Park W,Tukwila,98188,206.658.3121,Active,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
AirMark Corporation,MANUFACTURERS,MANUFACTURERS,,Yes,,OCTOBER,https://www.airmark.com,10001 Lake City Way NE,Seattle,98125,800.527.7778,Active,FALSE,FALSE,FALSE,
Alliance Manufacturing Group Techni-Grip (dba),MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.technigrip.com,1118 East D Street,Tacoma,98421,253.224.5909,Active,FALSE,FALSE,FALSE,
E-bed Systems (dba),MANUFACTURERS,MANUFACTURERS,,No,,,https://www.ebedsystem.com,,,,,Active,TRUE,TRUE,TRUE,
Technical Tooling (dba),MANUFACTURERS,MANUFACTURERS,,No,,,https://www.technicaltooling.com,,,,,Active,TRUE,TRUE,TRUE,
Alliance Packaging,MANUFACTURERS,MANUFACTURERS,,No,,FEBRUARY,https://www.alliancepackaging.net,100 SW 43rd,Renton,98057,425.291.3500,Active,FALSE,FALSE,FALSE,
AM Manufacturing,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.ammfg.com,2283 Cole Street,Enumclaw,98022,360.367.7097,Active,FALSE,FALSE,FALSE,
American Structures & Design,MANUFACTURERS,MANUFACTURERS,,No,,,https://www.americanstructures.com,1801 132nd Ave. E. Suite 100,Sumner,98390,253.833.4343 x102,Active,FALSE,FALSE,FALSE,
American Rifle Company,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.americanrifle.com,"11527 Cyrus Way, Ste. 3",Mukilteo,98275,206.226.4387,Active,FALSE,FALSE,FALSE,
American West Industries,MANUFACTURERS,MANUFACTURERS,,Yes,,AUGUST,https://awestindustries.com,3528 E Desmet Ave.,Spokane,99202,509.535.5040,Active,FALSE,FALSE,FALSE,
Exploration Team,MANUFACTURERS,MANUFACTURERS,,Yes,,JULY,https://analogcoffee.com,235 Summit Ave. East,Seattle,98102,206.661.4794,Active,FALSE,FALSE,FALSE,
Anchorhead Coffee Espresso,MANUFACTURERS,MANUFACTURERS,,Yes,,JANUARY,https://anchorheadcoffee.com,"1600 7th Ave., Ste. 105",Seattle,98101,206.963.6237,Opted Out,FALSE,FALSE,FALSE,
Aptly Technology Corp,MANUFACTURERS,MANUFACTURERS,,Yes,,FEBRUARY,https://www.aptlytech.com,"12951 Bel-Red Road, Suite 160-170",Bellevue,98005,425.628.5638,Opted Out,FALSE,FALSE,FALSE,Trimmed trailing punctuation/spaces from name
AFAB Enterprises,MANUFACTURERS,MANUFACTURERS,,Yes,,DECEMBER,https://www.aquarianaudio.com,5677 Patricia Lane,Anacortes,98221,360.299.0372,Opted Out,FALSE,FALSE,FALSE,
